Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,gene_symbol,radial_position
ENSMUSG00000036977.8,691.98395,-0.053393558744412865,0.053846358429524586,0.991590894940382,0.32139713263602154,0.560424170391694,ENSMUSG00000036977,Anapc10,0.774139309299865
ENSMUSG00000064325.4,779.3814,0.003205722117011463,0.21972319125733267,-0.014589821396035638,0.9883594197392863,0.9955986233743227,ENSMUSG00000064325,Hhip,0.774139309299865
ENSMUSG00000031715.14,4067.894,0.09544256085692486,0.05015233681664321,-1.9030531160664073,0.0570336147253774,0.18193319809355044,ENSMUSG00000031715,Smarca5,0.7801127360096006
ENSMUSG00000031714.9,2480.8872,0.11807602052362073,0.09687685312782587,-1.218825929118726,0.222910267905559,0.4502820056593621,ENSMUSG00000031714,Gab1,0.7801127360096006
ENSMUSG00000038250.9,1526.543,0.05451296691444759,0.07378255552657417,-0.7388327298424047,0.46000857466750844,0.6881834714295553,ENSMUSG00000038250,Usp38,0.7801127360096006
ENSMUSG00000037940.17,2151.6704,0.27601468560378867,0.07202814472233568,-3.832039360000306,0.0001270854006323775,0.0014761526675558685,ENSMUSG00000037940,Inpp4b,0.776768484582016
ENSMUSG00000031711.7,1057.4094,0.06284769368324085,0.054174687011224715,-1.1600933415677905,0.24601080481501614,0.4779308499176229,ENSMUSG00000031711,Zfp330,0.7468329247672395
ENSMUSG00000047747.10,4300.291,0.19992528003005475,0.05780436446193285,-3.4586537174319396,0.0005428823871881939,0.004940770851408221,ENSMUSG00000047747,Rnf150,0.7468329247672395
ENSMUSG00000031709.15,5556.218,-0.08346819086457496,0.04752971160059505,1.7561266006825504,0.07906679399671865,0.227447103977401,ENSMUSG00000031709,Tbc1d9,0.7468329247672395
ENSMUSG00000035151.12,1749.9121,0.09538563384397765,0.08601780886134262,-1.1089056453150952,0.26747088822396226,0.5028598525537282,ENSMUSG00000035151,Elmod2,0.7468329247672395
ENSMUSG00000002190.13,633.5142,-0.03825925625473467,0.20257850361848048,0.18886138248305445,0.8502014611404026,0.9324499459843588,ENSMUSG00000002190,Clgn,0.7468329247672395
ENSMUSG00000063253.11,3092.6401,-0.19013009685196383,0.3121373521085763,0.6091231810854456,0.5424427934433845,0.7512771414170278,ENSMUSG00000063253,Scoc,0.7468329247672395
ENSMUSG00000033938.5,1324.5742,-0.08227857661902292,0.03719232005909677,2.212246412385307,0.026949643547085733,0.10643533762619017,ENSMUSG00000033938,Ndufb7,0.7468329247672395
ENSMUSG00000031708.16,11924.0625,0.03457000215636328,0.05544303463244379,-0.623522907531,0.5329409535618446,0.7445479642320378,ENSMUSG00000031708,Tecr,0.7468329247672395
ENSMUSG00000005483.10,2604.4827,-0.3467045591203382,0.2986271319444433,1.1609948394938183,0.24564399807766468,0.4774712528239077,ENSMUSG00000005483,Dnajb1,0.6991368741092877
ENSMUSG00000019433.9,924.5523,-0.05329236257238993,0.035979748944514854,1.4811766100584312,0.13855951733824773,0.33407678528516777,ENSMUSG00000019433,Gipc1,0.6991368741092877
ENSMUSG00000057672.16,1982.0795,-0.12379966483798188,0.0409476142754498,3.023366978237024,0.002499789008969221,0.016992405616615417,ENSMUSG00000057672,Pkn1,0.6991368741092877
ENSMUSG00000019464.6,179.44414,0.09209686560820012,0.15843438958113773,-0.5812934038606264,0.5610427254346239,0.7655712441379962,ENSMUSG00000019464,Ptger1,0.6991368741092877
ENSMUSG00000002885.14,412.70248,-0.038128340953084386,0.09081236041145435,0.41985849481647414,0.6745888298911089,0.8357580870791311,ENSMUSG00000002885,Adgre5,0.6991368741092877
ENSMUSG00000013033.16,17057.76,-0.19817614993004515,0.024774507903414556,7.9991962182518845,1.252340129371342e-15,1.4701229660535074e-13,ENSMUSG00000013033,Adgrl1,0.6991368741092877
ENSMUSG00000074219.2,192.82703,0.07506683233387725,0.15176950164135228,-0.49461078492086163,0.6208748878062949,0.8028157398606002,ENSMUSG00000074219,Gm10644,0.6991368741092877
ENSMUSG00000005469.10,9789.312,-0.18351302095137267,0.05298653071162575,3.4633900066061165,0.0005334146306450421,0.004875250671693395,ENSMUSG00000005469,Prkaca,0.679088344221045
ENSMUSG00000074215.2,102.68754,-0.06373206507079698,0.2951854723675871,0.2159051546799466,0.8290616790098093,0.9212291159351748,ENSMUSG00000074215,Gm10643,0.679088344221045
ENSMUSG00000056753.3,127.349815,0.01891639464409151,0.20384233370033872,-0.09279914677536914,0.9260631288617649,0.9685961342762749,ENSMUSG00000056753,C330011M18Rik,0.679088344221045
ENSMUSG00000031706.7,1865.6809,-0.2293872159000752,0.0807300978400983,2.841408867785857,0.0044914686935852155,0.027014095136708754,ENSMUSG00000031706,Rfx1,0.679088344221045
ENSMUSG00000037103.8,814.72394,-0.08598897822231301,0.08760625115351406,0.9815392975968452,0.32632686525918975,0.5651195079399606,ENSMUSG00000037103,Dcaf15,0.679088344221045
ENSMUSG00000036686.16,2586.4634,-0.026134241020067197,0.053807117688022627,0.4857023037657457,0.627178250033353,0.8076755928228475,ENSMUSG00000036686,Cc2d1a,0.679088344221045
ENSMUSG00000035671.6,854.149,-0.14188952198421842,0.05462822280004089,2.597366612192118,0.009394159880406037,0.048154888306125965,ENSMUSG00000035671,Zswim4,0.679088344221045
ENSMUSG00000019362.8,877.685,-0.12267238536480468,0.04849587562691725,2.529542642111123,0.011421129473109817,0.05609570772668062,ENSMUSG00000019362,D8Ertd738e,0.679088344221045
ENSMUSG00000004996.9,697.3548,-0.39760375953937266,0.27553480715103357,1.4430255242541004,0.14901328120372961,0.34988047840431896,ENSMUSG00000004996,Mri1,0.679088344221045
ENSMUSG00000034656.17,10926.731,-0.08624412059244706,0.03353395493231397,2.571844590550832,0.010115828960155619,0.05100127960660853,ENSMUSG00000034656,Cacna1a,0.679088344221045
ENSMUSG00000001910.4,3863.429,-0.09837460325279737,0.052698667117639035,1.8667379771331998,0.06193818756908246,0.1927109040315922,ENSMUSG00000001910,Nacc1,0.679088344221045
ENSMUSG00000001909.16,2253.3718,-0.23050025966748594,0.04254358953461862,5.417978647051467,6.027661278248918e-08,1.8239460599191243e-06,ENSMUSG00000001909,Trmt1,0.679088344221045
ENSMUSG00000001911.16,5517.332,-0.22151402322256586,0.08976738431448775,2.467644845777413,0.013600518434615488,0.06395334691186239,ENSMUSG00000001911,Nfix,0.679088344221045
ENSMUSG00000053226.6,208.31485,-0.08122715903670484,0.1724783726132858,0.47094112615976763,0.6376827781539085,0.8134190308264098,ENSMUSG00000053226,Dand5,0.679088344221045
ENSMUSG00000033751.5,558.90485,-0.09996690425797908,0.04817250618743447,2.0751858719788774,0.03796931150009393,0.13594376897026925,ENSMUSG00000033751,Gadd45gip1,0.679088344221045
