gene_id	WT_rep1	WT_rep2	WT_rep3	R168X_rep1	R168X_rep2	R168X_rep3
Tent4a	851.00	760.00	532.00	1077.00	807.00	884.00
Tent4b	975.00	785.00	592.00	1306.00	1011.00	1105.00
Tent5a	74.00	76.00	56.00	89.00	73.00	84.00
Tent5b	179.00	158.00	102.00	64.00	64.00	79.00
Tent5c	12.00	12.00	12.00	21.00	14.00	19.00
Tent5d	0.00	0.00	0.00	0.00	0.00	0.00
Tep1	926.00	807.00	584.00	856.00	574.00	610.00
Tepp	0.00	0.00	0.00	0.00	0.00	0.00
Tepsin	146.00	99.00	105.00	117.00	107.00	134.00
Terb1	5.00	2.00	3.00	7.00	11.00	13.00
Terb2	6.00	5.00	4.00	5.00	9.00	14.00
Terc	235.00	193.00	126.00	258.00	262.00	410.00
Terf1	162.00	150.00	104.00	182.00	149.00	181.00
Terf2	1023.00	845.00	605.00	1182.00	1074.00	1408.00
Terf2ip	962.00	744.00	551.00	1029.00	866.00	1390.00
Tert	76.00	57.00	52.00	95.00	72.00	84.00
Tes	2138.00	1716.00	1308.00	1206.00	1198.00	1720.00
Tesc	2.00	4.00	0.00	6.00	3.00	7.00
Tescl	6.00	7.00	8.00	3.00	9.00	10.00
Tesk1	720.00	646.00	454.00	724.00	550.00	696.00
Tesk2	67.00	56.00	43.00	47.00	27.00	62.00
Tesmin	10.00	0.00	3.00	2.00	3.00	5.00
Tespa1	0.00	0.00	0.00	0.00	1.00	0.00
Tet1	974.00	800.00	683.00	1405.00	934.00	800.00
Tet2	1078.00	803.00	604.00	1723.00	1283.00	1158.00
Tet3	12774.00	10891.00	7806.00	11913.00	8039.00	7974.00
Tex10	597.00	492.00	416.00	861.00	812.00	871.00
Tex101	302.00	235.00	176.00	422.00	417.00	706.00
Tex11	178.00	175.00	117.00	232.00	207.00	273.00
Tex12	58.00	56.00	29.00	71.00	100.00	114.00
Tex13a	0.00	0.00	0.00	0.00	0.00	0.00
Tex13b	0.00	1.00	0.00	9.00	5.00	6.00
Tex13c1	0.00	0.00	0.00	0.00	0.00	0.00
Tex13c3	0.00	0.00	0.00	0.00	0.00	0.00
Tex14	184.00	150.00	121.00	321.00	281.00	349.00
Tex15	343.00	282.00	224.00	579.00	503.00	465.00
Tex16	3.00	1.00	2.00	3.00	3.00	3.00
Tex19.1	407.00	360.00	222.00	173.00	163.00	292.90
Tex19.2	0.00	0.00	0.00	0.00	0.00	2.10
Tex2	1361.00	1110.00	912.00	1617.00	1325.00	1601.00
Tex21	1.00	1.00	0.00	0.00	0.00	0.00
Tex22	4.00	3.00	0.00	3.00	1.00	4.00
Tex24	1.00	0.00	0.00	0.00	0.00	0.00
Tex26	5.00	5.00	7.00	13.00	9.00	10.00
Tex261	690.00	590.00	425.00	574.00	474.00	643.00
Tex264	716.00	588.00	480.00	628.00	464.00	764.00
Tex28	0.00	0.00	0.00	0.00	0.00	0.00
Tex29	2.00	1.00	0.00	4.00	2.00	3.00
Tex30	147.00	130.00	106.00	217.00	218.00	290.00
